Content,Date,cleaned,vader_compound,label_3class,label_str,token_count_cleaned,lemma_count,lemmas_str
"This was the best app now it's basically useless like no replaying songs,no playing songs in order it removes all the fun",2023-01-05,"this was the best app now it is basically useless like no replaying songs,no playing songs in order it removes all the fun",0.7783,2,Positive,23,12,good | app | useless | no | replay | song | no | play | song | order | remove | fun
"I'm uninstalling Spotify, I can't able to play song which I wanted, and can't even change the track What is happening??",2023-01-07,"i am uninstalling spotify, i cannot able to play song which i wanted, and cannot even change the track what is happening??",-0.3391,0,Negative,22,8,not | able | play | want | not | change | track | happen
Worst app everthing is available only on premium only new updates sucks deleting this app... Ridiculous service,2023-01-07,worst app everthing is available only on premium only new updates sucks deleting this app... ridiculous service,-0.8442,0,Negative,17,8,bad | everthing | available | update | suck | delete | ridiculous | service
"Utter BS, who'd use this app if they don't even allow to choose songs of our own. Deleting it right away.",2023-01-07,"utter bs, who would use this app if they do not even allow to choose songs of our own. deleting it right away.",-0.1695,0,Negative,23,8,utter | use | not | allow | choose | song | own | delete
This app is ewwww because of the new updates if you continue doing this I'm gonna uninstall this app fr,2023-01-05,this app is ewwww because of the new updates if you continue doing this i am going to uninstall this app fr,0.0,1,Neutral,22,6,ewwww | update | continue | do | go | uninstall
One day that day will gonna come when spotify gonna say. want you install spotify? Buy premium first 👍,2023-01-07,one day that day will going to come when spotify going to say. want you install spotify? buy premium first 👍,0.0772,1,Neutral,21,7,day | day | go | come | go | say | install
The new update is so disgusting.....they also restricted the basic features.....very bad experience,2023-01-05,the new update is so disgusting.....they also restricted the basic features.....very bad experience,-0.7479,0,Negative,13,6,update | disgusting | restrict | basic | feature | experience
Such a useless app. We can't even change the songs after few times. And can't even forward a song.,2023-01-06,such a useless app. we cannot even change the songs after few times. and cannot even forward a song.,-0.4215,0,Negative,19,7,useless | not | change | song | few | time | not
The worst app ever...I can't even listen to songs in the order I want to...like really?..bullish!t,2023-01-08,the worst app ever...i cannot even listen to songs in the order i want to...like really?..bullish!t,-0.6239,0,Negative,16,7,bad | not | listen | song | order | want | bullish!t
"gasuka spotify yang sekarang gaada liriknya soalnya, spotify aku uda premium juga tetep gaada huu",2023-01-04,"gasuka spotify yang sekarang gaada liriknya soalnya, spotify aku uda premium juga tetep gaada huu",0.0,1,Neutral,15,1,aku
"What's wrong with Spotify ,now a user can't even listen on loop without premium.Very disappointed",2023-01-07,"what is wrong with spotify ,now a user cannot even listen on loop without premium.very disappointed",-0.1396,0,Negative,16,6,wrong | user | not | listen | loop | disappoint
Worst app ..... This updated version removed all basic things that a music app should have .,2023-01-07,worst app ..... this updated version removed all basic things that a music app should have .,-0.6249,0,Negative,17,7,bad | update | version | remove | basic | thing | have
"💩 app and your update is just 💩💩. Spotify is trash, junk yard. Such a sick retard app.",2023-01-07,"💩 app and your update is just 💩💩. spotify is trash, junk yard. such a sick retard app.",-0.7717,0,Negative,18,7,💩 | update | trash | junk | yard | sick | retard
I don't know why people's are gave Less *. But I thought its Like gems of the Music.,2023-01-03,i do not know why people's are gave less *. but i thought its like gems of the music.,0.5023,2,Positive,19,7,not | know | people | give | Less | think | gem
"wrost app ever , every time show there subscribtion plan and didn't play music we'll",2023-01-06,"wrost app ever , every time show there subscribtion plan and did not play music we will",-0.2584,0,Negative,17,6,time | show | subscribtion | plan | not | play
Making even the basic features in premium category makes the app good for anything.,2023-01-06,making even the basic features in premium category makes the app good for anything.,0.4404,2,Positive,14,6,make | basic | feature | category | make | good
We can't even replay songs anymore for free. It's useless unless you have premium.,2023-01-05,we cannot even replay songs anymore for free. it is useless unless you have premium.,0.128,1,Neutral,15,6,not | replay | song | free | useless | have
"It's complete nonsense, don't download it,❌ it's useless, it spoils your mind. 🚫",2023-01-07,"it is complete nonsense, do not download it,❌ it is useless, it spoils your mind. 🚫",-0.6705,0,Negative,16,7,complete | nonsense | not | download | useless | spoil | mind
"Everything was great, but then the PREMIUM nation attacked. Sucks posterior now.",2023-01-07,"everything was great, but then the premium nation attacked. sucks posterior now.",-0.6908,0,Negative,12,4,great | nation | attack | suck
"Absolute dogwater, youre telling me I cant repeat songs without premium? Dumb",2023-01-03,"absolute dogwater, you are telling me i cannot repeat songs without premium? dumb",0.4023,2,Positive,13,7,absolute | dogwater | tell | not | repeat | song | dumb
I can't play back or little skip and ad's so disturbing please update again,2023-01-06,i cannot play back or little skip and ad's so disturbing please update again,-0.5717,0,Negative,14,7,not | play | little | skip | ad | disturbing | update
"Spotify is great....it has great playlists, and the experience is amazing",2023-01-06,"spotify is great....it has great playlists, and the experience is amazing",0.836,2,Positive,11,6,great | have | great | playlist | experience | amazing
I really love this app this app always give me best jazz to Jinja my self,2023-01-07,i really love this app this app always give me best jazz to jinja my self,0.8655,2,Positive,16,5,love | give | good | jazz | self
Useless now they are just making it premium specific uninstalled spotify,2023-01-07,useless now they are just making it premium specific uninstalled spotify,-0.4215,0,Negative,11,4,useless | make | specific | uninstalled
Bkl Itna chuttiya update Diya hai Ab resso join krlunga mai 😼ga*n marao,2023-01-07,bkl itna chuttiya update diya hai ab resso join krlunga mai 😼ga*n marao,0.296,1,Neutral,13,4,chuttiya | update | ga*n | marao
Worst app.. Just download it to listen ads.. World's worst app ever..,2023-01-04,worst app.. just download it to listen ads.. world's worst app ever..,-0.8481,0,Negative,12,4,bad | download | listen | ad
Hotch potch and flop update ... You're making this app a confusion ..,2023-01-07,hotch potch and flop update ... you are making this app a confusion ..,-0.5574,0,Negative,14,6,potch | flop | update | make | app | confusion
Wat kind of update is come .. it is like compulsory Spotify premium,2023-01-07,wat kind of update is come .. it is like compulsory spotify premium,0.3612,2,Positive,13,4,kind | update | come | compulsory
Greedy Spotify always asking for premium it's so annoying 😭😭😭😭,2023-01-07,greedy spotify always asking for premium it is so annoying 😭😭😭😭,-0.6995,0,Negative,11,6,ask | annoying | 😭 | 😭 | 😭 | 😭
All the 1 star reviews are true..... Same with the Spotify lite.,2023-01-07,all the 1 star reviews are true..... same with the spotify lite.,0.0,1,Neutral,12,5,star | review | true | same | lite
Now Spotify working on making it worse for the users...everyday,2023-01-01,now spotify working on making it worse for the users...everyday,-0.4767,0,Negative,10,5,work | make | bad | user | everyday
Useless app without membership we can't do anything in this app,2023-01-08,useless app without membership we cannot do anything in this app,-0.4215,0,Negative,11,4,useless | membership | not | do
"Once a best music app, now in absolute ruins. Goodbye spotify",2023-01-08,"once a best music app, now in absolute ruins. goodbye spotify",0.3182,2,Positive,11,2,good | ruin
"Everytime I'm touching screen showing ""Explore premium"" 🙄😖",2023-01-07,"everytime i am touching screen showing ""explore premium"" 🙄😖",0.0,1,Neutral,9,5,touch | screen | show | explore | premium
Was a great app but now It is the worst app for music player,2023-01-07,was a great app but now it is the worst app for music player,-0.6249,0,Negative,14,4,great | app | bad | player
F..ck this new update..even basic features need premium now,2023-01-07,f..ck this new update..even basic features need premium now,0.0,1,Neutral,9,4,update | basic | feature | need
How to ruin a perfect app- LESSONS BY SPOTIFY (Premium 🤡),2023-01-07,how to ruin a perfect app- lessons by spotify (premium 🤡),-0.0258,1,Neutral,11,4,ruin | perfect | lesson | premium
Spotify just ruined their fame by adding the new updates.,2023-01-07,spotify just ruined their fame by adding the new updates.,-0.0516,1,Neutral,10,4,ruin | fame | add | update
Add a feature of sort playlist on smart TV also..,2023-01-07,add a feature of sort playlist on smart tv also..,0.4019,2,Positive,10,6,add | feature | sort | playlist | smart | tv
Where is hip hop Pretty rude No baby Little baby,2023-01-07,where is hip hop pretty rude no baby little baby,-0.25,0,Negative,10,8,hip | hop | pretty | rude | no | baby | little | baby
I boycot all Sweden noob apps noob Sweden haram,2023-01-01,i boycot all sweden noob apps noob sweden haram,-0.1027,0,Negative,9,3,boycot | app | haram
No more room for free users after new update 🥲,2023-01-07,no more room for free users after new update 🥲,0.3321,2,Positive,10,6,no | More | room | free | user | update
New update ki very bad and also premium thing's,2023-01-08,new update ki very bad and also premium thing's,-0.5849,0,Negative,9,3,new | update | thing
Now this is bad bcz of premium subscription,2023-01-06,now this is bad bcz of premium subscription,-0.5423,0,Negative,8,3,bad | bcz | subscription
Terrible........ horrible... Worst app ever,2023-01-07,terrible........ horrible... worst app ever,-0.6249,0,Negative,5,3,terrible | horrible | bad
Spotify: Music's best streaming companion,2023-01-07,spotify: music's best streaming companion,0.6369,2,Positive,5,3,good | streaming | companion
This app is now becoming Worst day by day,2023-01-08,this app is now becoming worst day by day,-0.6249,0,Negative,9,4,become | bad | day | day
not everyone as rich as Spotify's owner,2023-01-06,not everyone as rich as spotify's owner,-0.4449,0,Negative,7,3,not | rich | owner
Excellent selection of music and books,2023-01-05,excellent selection of music and books,0.5719,2,Positive,6,3,excellent | selection | book
Removed basic features what the hack😂,2023-01-05,removed basic features what the hack😂,0.0,1,Neutral,6,4,removed | basic | feature | hack
New update is the worst thing ever 💀,2023-01-05,new update is the worst thing ever 💀,-0.6249,0,Negative,8,4,new | update | bad | thing
Rapper Trapper Public Figure Director,2023-01-05,rapper trapper public figure director,0.0,1,Neutral,5,0,
u just make everything paid trash app,2023-01-07,you just make everything paid trash app,0.0,1,Neutral,7,3,make | pay | trash
Recent update blocked everything..,2023-01-05,recent update blocked everything..,-0.2732,0,Negative,4,3,recent | update | block
Just because they are money wh0res,2023-01-06,just because they are money wh0res,0.0,1,Neutral,6,2,money | wh0re
After update the app is of no use,2023-01-07,after update the app is of no use,-0.296,0,Negative,8,3,update | no | use
Unlimited ads 😡 worst app 👎👎👎,2023-01-07,unlimited ads 😡 worst app 👎👎👎,-0.6249,0,Negative,6,4,unlimited | ad | bad | 👎
The new update ruined everything,2023-01-08,the new update ruined everything,-0.4767,0,Negative,5,2,update | ruin
Worst app ever after the update,2023-01-05,worst app ever after the update,-0.6249,0,Negative,6,2,bad | update
Used to be nice. Not anymore.,2023-01-06,used to be nice. not anymore.,0.4215,2,Positive,6,3,use | nice | not
"Wahiat aap hai,don't download",2023-01-07,"wahiat aap hai,do not download",0.0,1,Neutral,5,2,not | download
everything thing need premium,2023-01-07,everything thing need premium,0.0,1,Neutral,4,2,thing | need
You are taking bad decisions,2023-01-05,you are taking bad decisions,-0.5423,0,Negative,5,2,take | decision
The new update is very BAD,2023-01-05,the new update is very bad,-0.5849,0,Negative,6,1,update
Enjoyable with less hustle,2023-01-08,enjoyable with less hustle,0.4404,2,Positive,4,2,enjoyable | hustle
Forcing us to take premium,2023-01-08,forcing us to take premium,0.0,1,Neutral,5,2,force | take
Latest update is very bad,2023-01-06,latest update is very bad,-0.5849,0,Negative,5,2,late | update
Nothing.... Just nothing,2023-01-04,nothing.... just nothing,0.0,1,Neutral,3,2,nothing | nothing
“Was” the best music app,2023-01-06,“was” the best music app,0.6369,2,Positive,5,1,good
